trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.4889999999999999, 'e': 0.32955896107518906}",25,7,-15.017816518677321,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
112,False,"{'a': 0.4879999999999999, 'e': 0.32627979462303947}",20,0,6.2317594054918395,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.4869999999999999, 'e': 0.3230332564222529}",25,10,-21.39629962067332,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.4859999999999999, 'e': 0.31981902181630384}",20,0,-45.3048509898028,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
115,False,"{'a': 0.4849999999999999, 'e': 0.31663676937905316}",20,2,21.695537679818287,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.4839999999999999, 'e': 0.3134861808826053}",20,15,2.8616284104456957,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.4829999999999999, 'e': 0.31036694126548503}",20,12,5.378466297019264,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.4819999999999999, 'e': 0.30727873860113125}",30,14,-57.72201987136137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
119,False,"{'a': 0.48099999999999987, 'e': 0.3042212640667041}",20,8,22.709079293126354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.47999999999999987, 'e': 0.30119421191220214}",20,0,8.517029486975687,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.47899999999999987, 'e': 0.2981972794298874}",30,18,8.08179913288658,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.47799999999999987, 'e': 0.2952301669240142}",25,18,12.071270245386847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.47699999999999987, 'e': 0.2922925776808594}",20,7,7.21297694358839,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.47599999999999987, 'e': 0.2893842179390506}",20,16,8.108450343454841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.47499999999999987, 'e': 0.2865047968601901}",20,10,13.080937245648602,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.47399999999999987, 'e': 0.2836540264997704}",25,8,19.868308232171774,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.47299999999999986, 'e': 0.2808316217783798}",20,16,8.514489467708731,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.47199999999999986, 'e': 0.27803730045319414}",30,17,-17.96460855858987,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.47099999999999986, 'e': 0.27527078308975234}",25,15,-8.231936764194998,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.46999999999999986, 'e': 0.2725317930340126}",20,7,12.489420624248185,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.46899999999999986, 'e': 0.2698200563846868}",25,13,15.443060819606911,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.46799999999999986, 'e': 0.26713530196585034}",20,3,1.585136489122093,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.46699999999999986, 'e': 0.26447726129982396}",20,9,-3.288334659253949,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.46599999999999986, 'e': 0.261845668580326}",25,0,28.0968989153116,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
